employeeId,clockIn,clockOut
1,10/6/20 7:47 AM,10/6/20 5:36 PM
1,10/7/20 7:47 AM,10/7/20 5:36 PM
1,10/8/20 7:47 AM,10/8/20 5:36 PM
1,10/9/20 7:47 AM,10/9/20 5:36 PM
1,10/10/20 7:47 AM,10/10/20 5:36 PM
1,10/11/20 7:47 AM,10/11/20 5:36 PM
1,10/12/20 7:47 AM,10/12/20 5:36 PM
1,10/13/20 7:47 AM,10/13/20 5:36 PM
1,10/14/20 7:47 AM,10/14/20 5:36 PM
1,10/15/20 7:47 AM,10/15/20 5:36 PM
1,10/16/20 7:47 AM,10/16/20 5:36 PM
1,10/17/20 7:47 AM,10/17/20 5:36 PM
1,10/18/20 7:47 AM,10/18/20 5:36 PM
1,10/19/20 7:47 AM,10/19/20 5:36 PM
1,10/20/20 7:47 AM,10/20/20 5:36 PM
2,10/6/20 7:47 AM,10/6/20 5:36 PM
2,10/7/20 7:47 AM,10/7/20 5:36 PM
2,10/8/20 7:47 AM,10/8/20 5:36 PM
2,10/9/20 7:47 AM,10/9/20 5:36 PM
2,10/10/20 7:47 AM,10/10/20 5:36 PM
2,10/11/20 7:47 AM,10/11/20 5:36 PM
2,10/12/20 7:47 AM,10/12/20 5:36 PM
2,10/13/20 7:47 AM,10/13/20 5:36 PM
2,10/14/20 7:47 AM,10/14/20 5:36 PM
2,10/15/20 7:47 AM,10/15/20 5:36 PM
2,10/16/20 7:47 AM,10/16/20 5:36 PM
2,10/17/20 7:47 AM,10/17/20 5:36 PM
2,10/18/20 7:47 AM,10/18/20 5:36 PM
2,10/19/20 7:47 AM,10/19/20 5:36 PM
2,10/20/20 7:47 AM,10/20/20 5:36 PM
3,10/6/20 7:47 AM,10/6/20 5:36 PM
3,10/7/20 7:47 AM,10/7/20 5:36 PM
3,10/8/20 7:47 AM,10/8/20 5:36 PM
3,10/9/20 7:47 AM,10/9/20 5:36 PM
3,10/10/20 7:47 AM,10/10/20 5:36 PM
3,10/11/20 7:47 AM,10/11/20 5:36 PM
3,10/12/20 7:47 AM,10/12/20 5:36 PM
3,10/13/20 7:47 AM,10/13/20 5:36 PM
3,10/14/20 7:47 AM,10/14/20 5:36 PM
3,10/15/20 7:47 AM,10/15/20 5:36 PM
3,10/16/20 7:47 AM,10/16/20 5:36 PM
3,10/17/20 7:47 AM,10/17/20 5:36 PM
3,10/18/20 7:47 AM,10/18/20 5:36 PM
3,10/19/20 7:47 AM,10/19/20 5:36 PM
3,10/20/20 7:47 AM,10/20/20 5:36 PM
4,10/6/20 7:47 AM,10/6/20 5:36 PM
4,10/7/20 7:47 AM,10/7/20 5:36 PM
4,10/8/20 7:47 AM,10/8/20 5:36 PM
4,10/9/20 7:47 AM,10/9/20 5:36 PM
4,10/10/20 7:47 AM,10/10/20 5:36 PM
4,10/11/20 7:47 AM,10/11/20 5:36 PM
4,10/12/20 7:47 AM,10/12/20 5:36 PM
4,10/13/20 7:47 AM,10/13/20 5:36 PM
4,10/14/20 7:47 AM,10/14/20 5:36 PM
4,10/15/20 7:47 AM,10/15/20 5:36 PM
4,10/16/20 7:47 AM,10/16/20 5:36 PM
4,10/17/20 7:47 AM,10/17/20 5:36 PM
4,10/18/20 7:47 AM,10/18/20 5:36 PM
4,10/19/20 7:47 AM,10/19/20 5:36 PM
4,10/20/20 7:47 AM,10/20/20 5:36 PM
5,10/6/20 7:47 AM,10/6/20 5:36 PM
5,10/7/20 7:47 AM,10/7/20 5:36 PM
5,10/8/20 7:47 AM,10/8/20 5:36 PM
5,10/9/20 7:47 AM,10/9/20 5:36 PM
5,10/10/20 7:47 AM,10/10/20 5:36 PM
5,10/11/20 7:47 AM,10/11/20 5:36 PM
5,10/12/20 7:47 AM,10/12/20 5:36 PM
5,10/13/20 7:47 AM,10/13/20 5:36 PM
5,10/14/20 7:47 AM,10/14/20 5:36 PM
5,10/15/20 7:47 AM,10/15/20 5:36 PM
5,10/16/20 7:47 AM,10/16/20 5:36 PM
5,10/17/20 7:47 AM,10/17/20 5:36 PM
5,10/18/20 7:47 AM,10/18/20 5:36 PM
5,10/19/20 7:47 AM,10/19/20 5:36 PM
5,10/20/20 7:47 AM,10/20/20 5:36 PM
6,10/6/20 7:47 AM,10/6/20 5:36 PM
6,10/7/20 7:47 AM,10/7/20 5:36 PM
6,10/8/20 7:47 AM,10/8/20 5:36 PM
6,10/9/20 7:47 AM,10/9/20 5:36 PM
6,10/10/20 7:47 AM,10/10/20 5:36 PM
6,10/11/20 7:47 AM,10/11/20 5:36 PM
6,10/12/20 7:47 AM,10/12/20 5:36 PM
6,10/13/20 7:47 AM,10/13/20 5:36 PM
6,10/14/20 7:47 AM,10/14/20 5:36 PM
6,10/15/20 7:47 AM,10/15/20 5:36 PM
6,10/16/20 7:47 AM,10/16/20 5:36 PM
6,10/17/20 7:47 AM,10/17/20 5:36 PM
6,10/18/20 7:47 AM,10/18/20 5:36 PM
6,10/19/20 7:47 AM,10/19/20 5:36 PM
6,10/20/20 7:47 AM,10/20/20 5:36 PM
7,10/6/20 7:47 AM,10/6/20 5:36 PM
7,10/7/20 7:47 AM,10/7/20 5:36 PM
7,10/8/20 7:47 AM,10/8/20 5:36 PM
7,10/9/20 7:47 AM,10/9/20 5:36 PM
7,10/10/20 7:47 AM,10/10/20 5:36 PM
7,10/11/20 7:47 AM,10/11/20 5:36 PM
7,10/12/20 7:47 AM,10/12/20 5:36 PM
7,10/13/20 7:47 AM,10/13/20 5:36 PM
7,10/14/20 7:47 AM,10/14/20 5:36 PM
7,10/15/20 7:47 AM,10/15/20 5:36 PM
7,10/16/20 7:47 AM,10/16/20 5:36 PM
7,10/17/20 7:47 AM,10/17/20 5:36 PM
7,10/18/20 7:47 AM,10/18/20 5:36 PM
7,10/19/20 7:47 AM,10/19/20 5:36 PM
7,10/20/20 7:47 AM,10/20/20 5:36 PM
8,10/6/20 7:47 AM,10/6/20 5:36 PM
8,10/7/20 7:47 AM,10/7/20 5:36 PM
8,10/8/20 7:47 AM,10/8/20 5:36 PM
8,10/9/20 7:47 AM,10/9/20 5:36 PM
8,10/10/20 7:47 AM,10/10/20 5:36 PM
8,10/11/20 7:47 AM,10/11/20 5:36 PM
8,10/12/20 7:47 AM,10/12/20 5:36 PM
8,10/13/20 7:47 AM,10/13/20 5:36 PM
8,10/14/20 7:47 AM,10/14/20 5:36 PM
8,10/15/20 7:47 AM,10/15/20 5:36 PM
8,10/16/20 7:47 AM,10/16/20 5:36 PM
8,10/17/20 7:47 AM,10/17/20 5:36 PM
8,10/18/20 7:47 AM,10/18/20 5:36 PM
8,10/19/20 7:47 AM,10/19/20 5:36 PM
8,10/20/20 7:47 AM,10/20/20 5:36 PM
9,10/6/20 7:47 AM,10/6/20 5:36 PM
9,10/7/20 7:47 AM,10/7/20 5:36 PM
9,10/8/20 7:47 AM,10/8/20 5:36 PM
9,10/9/20 7:47 AM,10/9/20 5:36 PM
9,10/10/20 7:47 AM,10/10/20 5:36 PM
9,10/11/20 7:47 AM,10/11/20 5:36 PM
9,10/12/20 7:47 AM,10/12/20 5:36 PM
9,10/13/20 7:47 AM,10/13/20 5:36 PM
9,10/14/20 7:47 AM,10/14/20 5:36 PM
9,10/15/20 7:47 AM,10/15/20 5:36 PM
9,10/16/20 7:47 AM,10/16/20 5:36 PM
9,10/17/20 7:47 AM,10/17/20 5:36 PM
9,10/18/20 7:47 AM,10/18/20 5:36 PM
9,10/19/20 7:47 AM,10/19/20 5:36 PM
9,10/20/20 7:47 AM,10/20/20 5:36 PM
10,10/6/20 7:47 AM,10/6/20 5:36 PM
10,10/7/20 7:47 AM,10/7/20 5:36 PM
10,10/8/20 7:47 AM,10/8/20 5:36 PM
10,10/9/20 7:47 AM,10/9/20 5:36 PM
10,10/10/20 7:47 AM,10/10/20 5:36 PM
10,10/11/20 7:47 AM,10/11/20 5:36 PM
10,10/12/20 7:47 AM,10/12/20 5:36 PM
10,10/13/20 7:47 AM,10/13/20 5:36 PM
10,10/14/20 7:47 AM,10/14/20 5:36 PM
10,10/15/20 7:47 AM,10/15/20 5:36 PM
10,10/16/20 7:47 AM,10/16/20 5:36 PM
10,10/17/20 7:47 AM,10/17/20 5:36 PM
10,10/18/20 7:47 AM,10/18/20 5:36 PM
10,10/19/20 7:47 AM,10/19/20 5:36 PM
10,10/20/20 7:47 AM,10/20/20 5:36 PM
11,10/6/20 7:47 AM,10/6/20 5:36 PM
11,10/7/20 7:47 AM,10/7/20 5:36 PM
11,10/8/20 7:47 AM,10/8/20 5:36 PM
11,10/9/20 7:47 AM,10/9/20 5:36 PM
11,10/10/20 7:47 AM,10/10/20 5:36 PM
11,10/11/20 7:47 AM,10/11/20 5:36 PM
11,10/12/20 7:47 AM,10/12/20 5:36 PM
11,10/13/20 7:47 AM,10/13/20 5:36 PM
11,10/14/20 7:47 AM,10/14/20 5:36 PM
11,10/15/20 7:47 AM,10/15/20 5:36 PM
11,10/16/20 7:47 AM,10/16/20 5:36 PM
11,10/17/20 7:47 AM,10/17/20 5:36 PM
11,10/18/20 7:47 AM,10/18/20 5:36 PM
11,10/19/20 7:47 AM,10/19/20 5:36 PM
11,10/20/20 7:47 AM,10/20/20 5:36 PM
12,10/6/20 7:47 AM,10/6/20 5:36 PM
12,10/7/20 7:47 AM,10/7/20 5:36 PM
12,10/8/20 7:47 AM,10/8/20 5:36 PM
12,10/9/20 7:47 AM,10/9/20 5:36 PM
12,10/10/20 7:47 AM,10/10/20 5:36 PM
12,10/11/20 7:47 AM,10/11/20 5:36 PM
12,10/12/20 7:47 AM,10/12/20 5:36 PM
12,10/13/20 7:47 AM,10/13/20 5:36 PM
12,10/14/20 7:47 AM,10/14/20 5:36 PM
12,10/15/20 7:47 AM,10/15/20 5:36 PM
12,10/16/20 7:47 AM,10/16/20 5:36 PM
12,10/17/20 7:47 AM,10/17/20 5:36 PM
12,10/18/20 7:47 AM,10/18/20 5:36 PM
12,10/19/20 7:47 AM,10/19/20 5:36 PM
12,10/20/20 7:47 AM,10/20/20 5:36 PM
13,10/6/20 7:47 AM,10/6/20 5:36 PM
13,10/7/20 7:47 AM,10/7/20 5:36 PM
13,10/8/20 7:47 AM,10/8/20 5:36 PM
13,10/9/20 7:47 AM,10/9/20 5:36 PM
13,10/10/20 7:47 AM,10/10/20 5:36 PM
13,10/11/20 7:47 AM,10/11/20 5:36 PM
13,10/12/20 7:47 AM,10/12/20 5:36 PM
13,10/13/20 7:47 AM,10/13/20 5:36 PM
13,10/14/20 7:47 AM,10/14/20 5:36 PM
13,10/15/20 7:47 AM,10/15/20 5:36 PM
13,10/16/20 7:47 AM,10/16/20 5:36 PM
13,10/17/20 7:47 AM,10/17/20 5:36 PM
13,10/18/20 7:47 AM,10/18/20 5:36 PM
13,10/19/20 7:47 AM,10/19/20 5:36 PM
13,10/20/20 7:47 AM,10/20/20 5:36 PM
14,10/6/20 7:47 AM,10/6/20 5:36 PM
14,10/7/20 7:47 AM,10/7/20 5:36 PM
14,10/8/20 7:47 AM,10/8/20 5:36 PM
14,10/9/20 7:47 AM,10/9/20 5:36 PM
14,10/10/20 7:47 AM,10/10/20 5:36 PM
14,10/11/20 7:47 AM,10/11/20 5:36 PM
14,10/12/20 7:47 AM,10/12/20 5:36 PM
14,10/13/20 7:47 AM,10/13/20 5:36 PM
14,10/14/20 7:47 AM,10/14/20 5:36 PM
14,10/15/20 7:47 AM,10/15/20 5:36 PM
14,10/16/20 7:47 AM,10/16/20 5:36 PM
14,10/17/20 7:47 AM,10/17/20 5:36 PM
14,10/18/20 7:47 AM,10/18/20 5:36 PM
14,10/19/20 7:47 AM,10/19/20 5:36 PM
14,10/20/20 7:47 AM,10/20/20 5:36 PM
15,10/6/20 7:47 AM,10/6/20 5:36 PM
15,10/7/20 7:47 AM,10/7/20 5:36 PM
15,10/8/20 7:47 AM,10/8/20 5:36 PM
15,10/9/20 7:47 AM,10/9/20 5:36 PM
15,10/10/20 7:47 AM,10/10/20 5:36 PM
15,10/11/20 7:47 AM,10/11/20 5:36 PM
15,10/12/20 7:47 AM,10/12/20 5:36 PM
15,10/13/20 7:47 AM,10/13/20 5:36 PM
15,10/14/20 7:47 AM,10/14/20 5:36 PM
15,10/15/20 7:47 AM,10/15/20 5:36 PM
15,10/16/20 7:47 AM,10/16/20 5:36 PM
15,10/17/20 7:47 AM,10/17/20 5:36 PM
15,10/18/20 7:47 AM,10/18/20 5:36 PM
15,10/19/20 7:47 AM,10/19/20 5:36 PM
15,10/20/20 7:47 AM,10/20/20 5:36 PM